:START_ID(Entity),:END_ID(Entity),:TYPE,evidence,source_file
Country_china_eb278d21,EnergySource_coal_8aac3d87,DEPENDS_ON_ENERGY,"China: 2024년 총에너지 수요의 약 25%를 수입에 의존. 석유·가스·석탄 모두 대규모 수입국이며, LNG 수입 105.2bcm, 석탄 수입 11.62EJ로 매우 큼 국내 생산 기반은 크지만 절대 소비량이 워낙 커서 해상 수송로, 중동 정세, 러시아·중앙아시아 파이프라인, 호주·인도네시아 석탄 공급에 동시 노출",country_energy_dependency.xlsx
Country_china_eb278d21,EnergySource_gas_551c8ec0,DEPENDS_ON_ENERGY,"China: 2024년 총에너지 수요의 약 25%를 수입에 의존. 석유·가스·석탄 모두 대규모 수입국이며, LNG 수입 105.2bcm, 석탄 수입 11.62EJ로 매우 큼 국내 생산 기반은 크지만 절대 소비량이 워낙 커서 해상 수송로, 중동 정세, 러시아·중앙아시아 파이프라인, 호주·인도네시아 석탄 공급에 동시 노출",country_energy_dependency.xlsx
Country_china_eb278d21,EnergySource_lng_4b1b1786,DEPENDS_ON_ENERGY,"China: 2024년 총에너지 수요의 약 25%를 수입에 의존. 석유·가스·석탄 모두 대규모 수입국이며, LNG 수입 105.2bcm, 석탄 수입 11.62EJ로 매우 큼 국내 생산 기반은 크지만 절대 소비량이 워낙 커서 해상 수송로, 중동 정세, 러시아·중앙아시아 파이프라인, 호주·인도네시아 석탄 공급에 동시 노출",country_energy_dependency.xlsx
Country_china_eb278d21,EnergySource_oil_1ab2bf55,DEPENDS_ON_ENERGY,"China: 2024년 총에너지 수요의 약 25%를 수입에 의존. 석유·가스·석탄 모두 대규모 수입국이며, LNG 수입 105.2bcm, 석탄 수입 11.62EJ로 매우 큼 국내 생산 기반은 크지만 절대 소비량이 워낙 커서 해상 수송로, 중동 정세, 러시아·중앙아시아 파이프라인, 호주·인도네시아 석탄 공급에 동시 노출",country_energy_dependency.xlsx
Country_germany_45bfada5,EnergySource_coal_8aac3d87,DEPENDS_ON_ENERGY,"Germany: 2024년 총에너지 공급 10.14EJ 중 석유 4.24EJ, 가스 2.83EJ, 석탄 1.58EJ. EU는 석유 90% 이상, 가스 약 85%를 수입 러시아 가스 축소 이후 공급 다변화는 했지만 산업용 에너지 가격과 가스발전 가격결정 구조에 취약. 원전 종료로 전력 안정성·가격 부담도 전략적 약점",country_energy_dependency.xlsx
Country_germany_45bfada5,EnergySource_gas_551c8ec0,DEPENDS_ON_ENERGY,"Germany: 2024년 총에너지 공급 10.14EJ 중 석유 4.24EJ, 가스 2.83EJ, 석탄 1.58EJ. EU는 석유 90% 이상, 가스 약 85%를 수입 러시아 가스 축소 이후 공급 다변화는 했지만 산업용 에너지 가격과 가스발전 가격결정 구조에 취약. 원전 종료로 전력 안정성·가격 부담도 전략적 약점",country_energy_dependency.xlsx
Country_germany_45bfada5,EnergySource_oil_1ab2bf55,DEPENDS_ON_ENERGY,"Germany: 2024년 총에너지 공급 10.14EJ 중 석유 4.24EJ, 가스 2.83EJ, 석탄 1.58EJ. EU는 석유 90% 이상, 가스 약 85%를 수입 러시아 가스 축소 이후 공급 다변화는 했지만 산업용 에너지 가격과 가스발전 가격결정 구조에 취약. 원전 종료로 전력 안정성·가격 부담도 전략적 약점",country_energy_dependency.xlsx
Country_japan_016a8706,EnergySource_coal_8aac3d87,DEPENDS_ON_ENERGY,"Japan: 한국과 유사하게 에너지 수입 의존도 90% 이상. 2024년 LNG 수입 89.0bcm, 석탄 수입 4.35EJ 원전 재가동 지연 시 LNG·석탄 의존이 커짐. 섬나라 구조상 해상 수송로와 스팟 LNG 가격 변동에 매우 취약",country_energy_dependency.xlsx
Country_japan_016a8706,EnergySource_lng_4b1b1786,DEPENDS_ON_ENERGY,"Japan: 한국과 유사하게 에너지 수입 의존도 90% 이상. 2024년 LNG 수입 89.0bcm, 석탄 수입 4.35EJ 원전 재가동 지연 시 LNG·석탄 의존이 커짐. 섬나라 구조상 해상 수송로와 스팟 LNG 가격 변동에 매우 취약",country_energy_dependency.xlsx
Country_portugal_d0ef9ea5,EnergySource_gas_551c8ec0,DEPENDS_ON_ENERGY,"Portugal: 2024년 총에너지 공급 0.77EJ 중 석유 0.44EJ, 천연가스 0.13EJ. 국내 화석연료 생산이 사실상 미미 자체 화석연료 기반이 거의 없어 수입 연료와 이베리아 전력·가스 연계에 의존. 재생에너지 비중 확대가 강점이지만 가뭄 시 수력 변동성 존재",country_energy_dependency.xlsx
